************* Module ast
/log/firmware/firmware/usr/lib/python3.8/ast.py:502:0: W0622: Redefining built-in 'Ellipsis' (redefined-builtin)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0401: Wildcard import _ast (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Import from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import ImportFrom from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import In from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Interactive from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Invert from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Is from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import IsNot from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import JoinedStr from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import LShift from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Lambda from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import ListComp from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Load from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Lt from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import LtE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import MatMult from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Mod from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Mult from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Name from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import NamedExpr from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Nonlocal from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Not from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import NotEq from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import NotIn from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Or from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Pass from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Pow from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import PyCF_ALLOW_TOP_LEVEL_AWAIT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import RShift from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Raise from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Return from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import SetComp from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Slice from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Starred from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Store from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Subscript from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Try from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import TypeIgnore from wildcard import (unused-wildcard-import)
