************* Module idlelib.tooltip
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Place from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Grid from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BaseWidget from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Widget from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Canvas from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Checkbutton from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Entry from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Frame from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Listbox from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Menu from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Menubutton from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Message from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Radiobutton from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Scale from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Scrollbar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Text from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import OptionMenu from wildcard import (unused-wildcard-import)
