************* Module idlelib.autocomplete_w
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Grid from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BaseWidget from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Widget from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Button from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Canvas from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Checkbutton from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Entry from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Frame from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Label from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Menu from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Menubutton from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Message from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Radiobutton from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Scale from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Text from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import OptionMenu from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Image from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import PhotoImage from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BitmapImage from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import image_names from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import image_types from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Spinbox from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import LabelFrame from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import PanedWindow from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NO from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import FALSE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import OFF from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import YES from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import TRUE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import ON from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import N from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import S from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import W from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import E from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NS from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import EW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NSEW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import CENTER from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NONE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import X from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import TOP from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BOTTOM from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import RAISED from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SUNKEN from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import FLAT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import RIDGE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import GROOVE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SOLID from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import HORIZONTAL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NUMERIC from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import CHAR from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import WORD from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BASELINE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import INSIDE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import OUTSIDE from wildcard import (unused-wildcard-import)
